,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 6.         48.14537129 84.         26.2989     97.         71.5146
 77.6864     46.6941      1.        ]",[0.96225825 0.79163459 0.75272682 0.86309233],0.2338179042965961,0.6358487606048584
1,"[23.         65.22496478 93.         56.8751     97.         92.7787
 39.2033     95.2225      0.        ]",[0.03172742 0.69705136 0.29962402 0.47529577],0.3174165492589597,0.6618669033050537
2,"[ 3.         54.03466837 88.         69.6284     54.         41.5823
 34.1884     67.0746      1.        ]",[0.97238528 0.31866689 0.93396481 0.97237079],0.23011556124284638,0.2602837085723877
3,"[ 3.         63.96179564 40.         41.8453     72.         65.2715
 47.8952      9.4367      0.        ]",[0.38506693 0.14662282 0.01042405 0.01677657],0.423205985478213,0.7031867504119873
4,"[ 3.         98.91593941 72.          2.8334     93.         81.5138
 70.8209     35.1129      1.        ]",[0.92961955 0.00116545 0.71534319 0.16077133],0.4330531313690795,0.4830636978149414
5,"[ 2.         63.54846297 96.         44.6455      2.         52.4388
 34.6151      5.468       1.        ]",[5.86791019e-01 1.96346478e-04 4.99736318e-01 3.34228527e-01],0.23182820990202846,0.3714592456817627
6,"[11.         78.63386459 98.         78.4716     39.         78.0756
 36.2085     38.0353      1.        ]",[0.91152718 0.04700374 0.88580485 0.97400604],0.3054462153006767,0.6022577285766602
7,"[ 1.         90.99726659 93.48660462 30.3913      0.         64.9258
 77.7054      7.567       0.        ]",[1.87292442e-01 3.32277268e-06 1.76215658e-02 3.59659726e-01],0.3283688732285629,0.7217211723327637
8,"[ 7.         48.16868354 80.         49.8743     66.         31.1562
 91.6935     73.1713      1.        ]",[0.97250064 0.81236113 0.86187745 0.71331067],0.2505622784719538,0.5000388622283936
9,"[ 1.        35.6886839 98.         4.0857    86.        62.5036
 91.7096    75.0324     0.       ]",[0.24374589 0.27501769 0.08068074 0.03392071],0.12896227965373663,0.6376121044158936
