,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[5.71000000e-02 6.94499848e+01 9.93958000e+01 2.62989000e+01
 9.70000000e+01 7.15146000e+01 7.76864000e+01 4.66941000e+01
 1.00000000e+00]",[0.96501724 0.64337221 0.91392889 0.935403  ],0.23370428282828282,0.00144195556640625
1,"[5.71000000e-02 6.03937303e+01 9.93958000e+01 5.68751000e+01
 9.70000000e+01 9.27787000e+01 3.92033000e+01 9.52225000e+01
 0.00000000e+00]",[0.02879272 0.91810799 0.492832   0.6708518 ],0.20351676767676774,0.0020694732666015625
2,"[ 5.0571     37.21871616 94.3958     69.6284     54.         41.5823
 34.1884     67.0746      1.        ]",[0.96948408 0.81783757 0.9201814  0.96326327],0.159600053872054,0.0033609867095947266
3,"[5.71000000e-02 9.86312495e+01 9.93958000e+01 4.18453000e+01
 7.20000000e+01 6.52715000e+01 4.78952000e+01 9.43670000e+00
 0.00000000e+00]",[3.84324383e-01 2.85136611e-04 1.94498027e-01 7.87987858e-02],0.33097516498316504,0.002355337142944336
4,"[5.7100000e-02 9.3599997e+01 9.9395800e+01 2.8334000e+00 9.3000000e+01
 8.1513800e+01 7.0820900e+01 3.5112900e+01 1.0000000e+00]",[0.92941402 0.00371315 0.87280026 0.31707356],0.31420432323232317,0.0016274452209472656
5,"[5.71000000e-02 9.25937465e+01 9.63870515e+01 4.46455000e+01
 2.00000000e+00 5.24388000e+01 3.46151000e+01 5.46800000e+00
 1.00000000e+00]",[7.07581366e-01 6.44296977e-05 6.76312619e-01 3.35567945e-01],0.32087931649831647,0.0014960765838623047
6,"[5.71000000e-02 8.35374919e+01 9.93958000e+01 7.84716000e+01
 3.90000000e+01 7.80756000e+01 3.62085000e+01 3.80353000e+01
 1.00000000e+00]",[0.91152718 0.09171443 0.92704928 0.97646052],0.28066263973063976,0.0013875961303710938
7,"[5.71000000e-02 9.86312495e+01 9.93958000e+01 3.03913000e+01
 0.00000000e+00 6.49258000e+01 7.77054000e+01 7.56700000e+00
 0.00000000e+00]",[1.87292442e-01 1.51876920e-06 2.67547502e-02 4.14942867e-01],0.33097516498316504,0.001569509506225586
8,"[16.0571     48.21871616 83.3958     49.8743     66.         31.1562
 91.6935     73.1713      1.        ]",[0.96982934 0.81424219 0.84407576 0.84847333],0.26960005387205377,0.0045969486236572266
9,"[5.71000000e-02 6.24062313e+01 9.93958000e+01 4.08570000e+00
 8.60000000e+01 6.25036000e+01 9.17096000e+01 7.50324000e+01
 0.00000000e+00]",[0.34370339 0.41449306 0.14927528 0.06513446],0.2102251043771044,0.0018799304962158203
