,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[16.11387649 54.926033   95.13673929 26.2989     97.         71.5146
 77.6864     46.6941      1.        ]",[0.96501724 0.80024819 0.80006805 0.90838056],0.25301056733909844,3.685408115386963
1,"[2.38032924e-08 7.27894107e+01 1.00000000e+02 5.68751000e+01
 9.70000000e+01 9.27787000e+01 3.92033000e+01 9.52225000e+01
 0.00000000e+00]",[0.02873479 0.80000139 0.56947464 0.6708518 ],0.2426313692578005,0.18902921676635742
2,"[19.31530288 27.89919462 83.67100651 69.6284     54.         41.5823
 34.1884     67.0746      1.        ]",[0.81457695 0.8002145  0.80173199 0.80437411],0.21181163660292268,2.7908174991607666
3,"[ 9.58697746 59.40856682 39.12724487 41.8453     72.         65.2715
 47.8952      9.4367      0.        ]",[0.5801655  0.23067093 0.00747864 0.01302588],0.4328943313594328,0.1857163906097412
4,"[3.49729655e-07 9.28788256e+01 9.99999998e+01 2.83340000e+00
 9.30000000e+01 8.15138000e+01 7.08209000e+01 3.51129000e+01
 1.00000000e+00]",[0.92941402 0.00386978 0.87369601 0.31707356],0.30959608709258357,0.16957378387451172
5,"[3.46086336e-07 9.93883263e+01 9.99999994e+01 4.46455000e+01
 2.00000000e+00 5.24388000e+01 3.46151000e+01 5.46800000e+00
 1.00000000e+00]",[7.07581366e-01 4.69268268e-05 7.37111748e-01 3.35567945e-01],0.33129442416779453,0.14424514770507812
6,"[7.02545901e-08 4.40350516e+01 4.50747069e+01 7.84716000e+01
 3.90000000e+01 7.80756000e+01 3.62085000e+01 3.80353000e+01
 1.00000000e+00]",[0.91177984 0.72352913 0.39693876 0.79916238],0.3298678157189584,0.16705942153930664
7,"[8.19829884e-08 9.93941469e+01 9.99999999e+01 3.03913000e+01
 0.00000000e+00 6.49258000e+01 7.77054000e+01 7.56700000e+00
 0.00000000e+00]",[1.87292442e-01 1.39660987e-06 2.78722420e-02 4.14942867e-01],0.33131382358335937,0.16843891143798828
8,"[48.78901523 51.48775669 99.39507678 49.8743     66.         31.1562
 91.6935     73.1713      1.        ]",[0.97205094 0.81739347 0.80014806 0.80371594],0.3362723171513605,5.25293755531311
9,"[1.83567874e-11 5.98550066e+01 1.00000000e+02 4.08570000e+00
 8.60000000e+01 6.25036000e+01 9.17096000e+01 7.50324000e+01
 0.00000000e+00]",[0.34370339 0.43880058 0.14503322 0.06513446],0.19951668853473714,0.24327445030212402
