,custom_adaptation,custom_confidence,custom_score,custom_time
0,[ 0.     96.212  84.6792 92.686  28.     94.0161 80.7624 63.5628  1.    ],[[0.18531227 0.34030929 0.76412225 0.50733256]],0.3308754423375935,0.11641192436218262
1,"[  2.801   94.28   100.      13.6657   6.      71.8208  75.0593  60.5977
   1.    ]",[[0.73190999 0.11317403 0.17841232 0.13496494]],0.48018536463819983,0.11629724502563477
2,[48.7215 99.1258 96.763  56.6401 77.      7.5391  1.6253 80.0753  0.    ],[[0.07262797 0.73462289 0.7796101  0.33268327]],0.40051607145301993,0.11472630500793457
3,[19.012  94.28   85.027  15.2602 69.     53.3293 80.054  70.5053  0.    ],[[0.65910766 0.19377907 0.03405351 0.00430112]],0.464299197840515,0.11073112487792969
4,[32.729  87.05   79.4605 32.8658 99.      2.4322 12.8356 94.2017  1.    ],[[0.61265618 0.26646257 0.99213493 0.99389714]],0.2980051295240478,0.11898183822631836
